Title; death_cause; Occupation; Death_Year; Birth_Year; Death_Place
Angelines_Fernández​​​​;Lung cancer​​​​;Angelines_Fernández__1​​​​;1994​​​​;1922​​​​;['Mexico City', 'Cuauhtémoc Mexico City', 'Mexico']​​​​
Angelique_Pettyjohn​​​​;Cervical cancer​​​​;['Angelique_Pettyjohn__1', 'Actor']​​​​;1992​​​​;1943​​​​;['Las Vegas', 'United States']​​​​
Angelo_Bruno​​​​;Gunshot​​​​;['Angelo_Bruno__1', 'Businessperson', 'American Mafia', 'Gangster', 'Rum-running', 'Racket (crime)', 'Boss (crime)']​​​​;1980​​​​;1910​​​​;['Pennsylvania', 'Philadelphia', 'United States']​​​​
Angharad_Rees​​​​;Pancreatic cancer​​​​;['Angharad_Rees__1', 'Actor', 'Jewelry design']​​​​;2012​​​​;1944​​​​;['London', 'England']​​​​
Angus_MacAskill​​​​;Brain fever​​​​;None​​​​;1863​​​​;1825​​​​;['Halifax Nova Scotia', 'Canada']​​​​
Anissa_Jones​​​​;Drug overdose​​​​;Anissa_Jones__1​​​​;1976​​​​;1958​​​​;Oceanside California​​​​
Anita_Louise​​​​;Cerebral hemorrhage​​​​;Anita_Louise__1​​​​;1970​​​​;1915​​​​;West Los Angeles​​​​
Anita_Morris​​​​;Ovarian cancer​​​​;Anita_Morris__1​​​​;1994​​​​;1943​​​​;Los Angeles​​​​
Anita_Roddick​​​​;Cerebral hemorrhage​​​​;None​​​​;2007​​​​;1942​​​​;Chichester​​​​
Ann_B._Davis​​​​;Subdural hematoma​​​​;Ann_B._Davis__1​​​​;2014​​​​;1926​​​​;San Antonio​​​​
Ann_Carter​​​​;Ovarian cancer​​​​;['Ann_Carter__1', 'Child actor']​​​​;2014​​​​;1936​​​​;North Bend Washington​​​​
Ann_Christy​​​​;Myocardial infarction​​​​;Ann_Christy__1​​​​;1987​​​​;1905​​​​;Vernon Texas​​​​
Ann_Dunham​​​​;Uterine cancer​​​​;['Ann_Dunham__1', 'Anthropology']​​​​;1995​​​​;1942​​​​;['Honolulu', 'United States']​​​​
Ann_Dvorak​​​​;Stomach cancer​​​​;Ann_Dvorak__1​​​​;1979​​​​;1911​​​​;Honolulu​​​​
Ann_Mara​​​​;Falling (accident)​​​​;None​​​​;['0001', '2015']​​​​;1929​​​​;['Harrison New York', 'New York']​​​​
Ann_Marcus​​​​;Bladder cancer​​​​;None​​​​;2014​​​​;1921​​​​;['Los Angeles', 'Sherman Oaks Los Angeles', 'United States']​​​​
Ann_Miller​​​​;Lung cancer​​​​;None​​​​;2004​​​​;1923​​​​;Los Angeles​​​​
Ann_Pudeator​​​​;Capital punishment​​​​;['Ann_Pudeator__1', 'Midwife']​​​​;1692​​​​;1612​​​​;['Salem Massachusetts', 'Province of Massachusetts Bay']​​​​
Ann_Sothern​​​​;Heart failure​​​​;Ann_Sothern__1​​​​;2001​​​​;1909​​​​;Ketchum Idaho​​​​
Ann_Tyrrell​​​​;Myocardial infarction​​​​;['Ann_Tyrrell__1', 'Actor']​​​​;1983​​​​;1909​​​​;Pasadena California​​​​
Anna_Anderson​​​​;Pneumonia​​​​;None​​​​;1984​​​​;1896​​​​;Charlottesville Virginia​​​​
Anna_Blythe_Speas​​​​;['Abscess', 'Alcoholism', 'Pneumonia']​​​​;['Anna_Blythe_Speas__1', 'Anna_Blythe_Speas__2', 'Housewife', 'Accessory (legal term)']​​​​;1898​​​​;1869​​​​;['Colorado', 'Denver']​​​​
Anna_Hall_Roosevelt​​​​;Diphtheria​​​​;None​​​​;1892​​​​;1863​​​​;None​​​​
Anna_Held​​​​;Multiple myeloma​​​​;Anna_Held__1​​​​;1918​​​​;1872​​​​;New York City​​​​
Anna_Lizaran​​​​;Cancer​​​​;Anna_Lizaran__1​​​​;2013​​​​;1944​​​​;Barcelona​​​​
Anna_Manahan​​​​;Multiple organ dysfunction syndrome​​​​;['Anna_Manahan__1', 'Actor']​​​​;2009​​​​;1924​​​​;['Waterford', 'Ireland']​​​​
Anna_Maria_Calhoun_Clemson​​​​;Myocardial infarction​​​​;None​​​​;1875​​​​;1817​​​​;None​​​​
Anna_Maria_Lenngren​​​​;Breast cancer​​​​;['Anna_Maria_Lenngren__1', 'Writer', 'Poet']​​​​;1817​​​​;1754​​​​;None​​​​
Anna_Nicole_Smith​​​​;Drug overdose​​​​;Anna_Nicole_Smith__2​​​​;2007​​​​;1967​​​​;['Broward County Florida', 'Hollywood Florida', 'Florida']​​​​
Annalena_Tonelli​​​​;Assassination​​​​;None​​​​;2003​​​​;1943​​​​;['Somalia', 'Borama']​​​​
Anne_Bancroft​​​​;Uterine cancer​​​​;Anne_Bancroft__1​​​​;2005​​​​;1931​​​​;['Manhattan', 'New York City', 'New York']​​​​
Anne_Baxter​​​​;Intracranial aneurysm​​​​;Anne_Baxter__1​​​​;1985​​​​;1923​​​​;['United States', 'Lenox Hill Hospital', 'New York']​​​​
Anne_Crawford​​​​;Leukemia​​​​;Anne_Crawford__1​​​​;1956​​​​;1920​​​​;['London', 'United Kingdom', 'England']​​​​
Anne_Francis​​​​;Pancreatic cancer​​​​;Anne_Francis__1​​​​;2011​​​​;1930​​​​;Santa Barbara California​​​​
Anne_Haney​​​​;Heart failure​​​​;Anne_Haney__1​​​​;2001​​​​;1934​​​​;Studio City Los Angeles​​​​
Anne_Isabella_Byron,_Baroness_Byron​​​​;Breast cancer​​​​;None​​​​;1860​​​​;1792​​​​;None​​​​
Anne_Kirkbride​​​​;Breast cancer​​​​;None​​​​;2015​​​​;1954​​​​;Manchester​​​​
Anne_Ramsey​​​​;Esophageal cancer​​​​;['Anne_Ramsey__1', 'Actor']​​​​;1988​​​​;1929​​​​;['California', 'Hollywood']​​​​
Anne_Turner_(murderer)​​​​;Hanging​​​​;['Anne_Turner_(murderer)__1', 'Handmaiden']​​​​;1615​​​​;1576​​​​;['Middlesex', 'Tyburn']​​​​
Anneliese_Michel​​​​;['Dehydration', 'Malnutrition']​​​​;None​​​​;1976​​​​;1952​​​​;['Bavaria', 'West Germany', 'Klingenberg am Main']​​​​
Annette_Funicello​​​​;Multiple sclerosis​​​​;Annette_Funicello__1​​​​;2013​​​​;1942​​​​;Bakersfield California​​​​
Annie_Oakley​​​​;Pernicious anemia​​​​;None​​​​;1926​​​​;1860​​​​;Greenville Ohio​​​​
Annie_St_John​​​​;Suicide​​​​;['Annie_St_John__1', 'Presenter']​​​​;1990​​​​;1954​​​​;['Bristol', 'Avon (county)']​​​​
Annik_Shefrazian​​​​;Iranian Armenians​​​​;Annik_Shefrazian__1​​​​;1996​​​​;1909​​​​;['Iran', 'Tehran', 'Kahrizak']​​​​
Anthony_Allaire​​​​;Bright's disease​​​​;Anthony_Allaire__1​​​​;1903​​​​;1829​​​​;Manhattan​​​​
Anthony_Clare​​​​;Myocardial infarction​​​​;['Anthony_Clare__1', 'Psychiatrist']​​​​;2007​​​​;1942​​​​;None​​​​
Anthony_Coburn​​​​;Myocardial infarction​​​​;['Anthony_Coburn__1', 'Television', 'Television producer']​​​​;1977​​​​;1927​​​​;['Kent', 'Canterbury', 'England']​​​​
Anthony_Dexter​​​​;Stroke​​​​;['Anthony_Dexter__1', 'Actor']​​​​;2001​​​​;1913​​​​;Greeley Colorado​​​​
Anthony_Eisley​​​​;Myocardial infarction​​​​;Anthony_Eisley__1​​​​;2003​​​​;1925​​​​;['California', 'Los Angeles', 'Woodland Hills Los Angeles']​​​​
Anthony_Fokker​​​​;Pneumococcal infection​​​​;['Anthony_Fokker__1', 'Aerospace manufacturer']​​​​;1939​​​​;1890​​​​;['New York City', 'United States', 'Murray Hill Manhattan']​​​​
Anthony_Franciosa​​​​;Stroke​​​​;Anthony_Franciosa__1​​​​;2006​​​​;1928​​​​;Los Angeles​​​​
Anthony_George​​​​;Chronic obstructive pulmonary disease​​​​;['Anthony_George__1', 'Actor']​​​​;2005​​​​;1921​​​​;Newport Beach California​​​​
Anthony_Peck_(actor)​​​​;Cancer​​​​;Anthony_Peck_(actor)__1​​​​;1996​​​​;1947​​​​;Beverly Hills California​​​​
Anthony_Perkins​​​​;AIDS​​​​;Anthony_Perkins__1​​​​;1992​​​​;1932​​​​;['California', 'Los Angeles']​​​​
Anthony_Quinn​​​​;Cancer​​​​;Anthony_Quinn__1​​​​;2001​​​​;1915​​​​;Boston​​​​
Anthony_Ross​​​​;Myocardial infarction​​​​;Anthony_Ross__1​​​​;1955​​​​;1909​​​​;['New York City', 'New York']​​​​
