Title; death_cause; Occupation; Death_Year; Birth_Year; Death_Place
Frank_Overton​​​​;Myocardial infarction​​​​;['Frank_Overton__1', 'Actor']​​​​;1967​​​​;1918​​​​;['California', 'Pacific Palisades Los Angeles']​​​​
Frank_Packer​​​​;Cancer​​​​;['Frank_Packer__1', 'Media proprietor']​​​​;1974​​​​;1906​​​​;['New South Wales', 'Royal Prince Alfred Hospital']​​​​
Frank_Perry​​​​;Prostate cancer​​​​;['Frank_Perry__1', 'Filmmaking']​​​​;1995​​​​;1930​​​​;['Manhattan', 'New York']​​​​
Frank_Ripploh​​​​;Cancer​​​​;Frank_Ripploh__1​​​​;2002​​​​;1949​​​​;['Germany', 'North Rhine-Westphalia', 'Rheine']​​​​
Frank_Rosolino​​​​;Suicide​​​​;['Frank_Rosolino__1', 'Trombone']​​​​;1978​​​​;1926​​​​;Van Nuys Los Angeles​​​​
Frank_Silvera​​​​;Electrocution​​​​;Frank_Silvera__1​​​​;1970​​​​;1914​​​​;Pasadena California​​​​
Frank_Stagg_(Irish_republican)​​​​;Hunger strike​​​​;None​​​​;1976​​​​;1942​​​​;['Wakefield', 'HM Prison Wakefield']​​​​
Frank_Sutton​​​​;Myocardial infarction​​​​;None​​​​;1974​​​​;1923​​​​;['Louisiana', 'Shreveport Louisiana']​​​​
Frank_Thomas_(animator)​​​​;Cerebral hemorrhage​​​​;['Frank_Thomas_(animator)__1', 'Animator']​​​​;2004​​​​;1912​​​​;La Cañada Flintridge California​​​​
Frank_Tinney​​​​;Lung​​​​;Frank_Tinney__1​​​​;1940​​​​;1878​​​​;Northport New York​​​​
Frank_Wilcox​​​​;Myocardial infarction​​​​;['Frank_Wilcox__1', 'Actor']​​​​;1974​​​​;1907​​​​;['California', 'Los Angeles County California', 'Granada Hills Los Angeles', 'United States']​​​​
Frank_Zamboni​​​​;Cardiac arrest​​​​;None​​​​;1988​​​​;1901​​​​;['Paramount California', 'United States']​​​​
Frank_Zappa​​​​;Prostate cancer​​​​;Frank_Zappa__2​​​​;1993​​​​;1940​​​​;Los Angeles​​​​
Frank_de_Kova​​​​;Heart failure​​​​;None​​​​;1981​​​​;1910​​​​;['California', 'North Hills Los Angeles', 'United States']​​​​
Frankie_Abernathy​​​​;Cystic fibrosis​​​​;Frankie_Abernathy__1​​​​;2007​​​​;1981​​​​;['Shorewood Wisconsin', 'United States']​​​​
Frankie_Darro​​​​;Myocardial infarction​​​​;Frankie_Darro__1​​​​;1976​​​​;1917​​​​;Huntington Beach California​​​​
Frankie_Randall_(singer)​​​​;Lung cancer​​​​;Frankie_Randall_(singer)__1​​​​;2014​​​​;1938​​​​;Indio California​​​​
Franklin_Pangborn​​​​;Cancer​​​​;['Franklin_Pangborn__1', 'Actor']​​​​;1958​​​​;1889​​​​;['California', 'Laguna Beach California']​​​​
Franklin_W._Olin​​​​;Myocardial infarction​​​​;['Franklin_W._Olin__2', 'Franklin_W._Olin__3']​​​​;1951​​​​;1860​​​​;['St. Louis', 'United States']​​​​
Franklyn_Seales​​​​;AIDS​​​​;['Franklyn_Seales__1', 'Painting', 'Actor']​​​​;1990​​​​;1952​​​​;New York City​​​​
Franz_Bardon​​​​;Pancreatitis​​​​;None​​​​;1958​​​​;1909​​​​;None​​​​
Franz_Schurmann​​​​;["Alzheimer's disease", "Parkinson's disease"]​​​​;['Franz_Schurmann__1', 'History', 'Sociology']​​​​;2010​​​​;1926​​​​;['California', 'San Francisco']​​​​
François-Henri_de_Virieu​​​​;Pancreatic cancer​​​​;['François-Henri_de_Virieu__1', 'Journalist', 'Editor-in-chief', 'Television presenter']​​​​;1997​​​​;1931​​​​;['Yvelines', 'Marly-le-Roi', 'France']​​​​
François_Péron​​​​;Tuberculosis​​​​;None​​​​;1810​​​​;1775​​​​;None​​​​
Françoise_Dolto​​​​;Pulmonary fibrosis​​​​;None​​​​;None​​​​;None​​​​;Paris​​​​
Françoise_de_Langlade​​​​;Bone tumor​​​​;Françoise_de_Langlade__1​​​​;1983​​​​;1921​​​​;['Manhattan', 'New York']​​​​
Fred_Berry​​​​;Stroke​​​​;['Fred_Berry__1', 'Actor', 'Street dance']​​​​;2003​​​​;1951​​​​;Los Angeles​​​​
Fred_Church_(actor)​​​​;Myocardial infarction​​​​;Fred_Church_(actor)__1​​​​;1983​​​​;1889​​​​;Blythe California​​​​
Fred_Clark​​​​;Hepatitis​​​​;Fred_Clark__1​​​​;1968​​​​;1914​​​​;['California', 'Santa Monica California']​​​​
Fred_Davis_(broadcaster)​​​​;Stroke​​​​;None​​​​;1996​​​​;1921​​​​;['Toronto', 'Ontario']​​​​
Fred_DeLuca​​​​;Leukemia​​​​;['Fred_DeLuca__1', 'Businessperson']​​​​;2015​​​​;1947​​​​;['Lauderdale Lakes Florida', 'United States']​​​​
Fred_Gwynne​​​​;Pancreatic cancer​​​​;Fred_Gwynne__1​​​​;1993​​​​;1926​​​​;['Maryland', 'Taneytown Maryland']​​​​
Fred_H._Hale,_Sr.​​​​;Pneumonia​​​​;['Fred_H._Hale_Sr.__1', 'Beekeeper']​​​​;2004​​​​;1890​​​​;Syracuse New York​​​​
Fred_Kohler​​​​;Myocardial infarction​​​​;None​​​​;1938​​​​;1888​​​​;['California', 'Hollywood', 'United States']​​​​
Fred_Korematsu​​​​;Respiratory failure​​​​;None​​​​;2005​​​​;1919​​​​;['Marin County California', 'United States']​​​​
Fred_MacMurray​​​​;Pneumonia​​​​;Fred_MacMurray__1​​​​;1991​​​​;1908​​​​;Santa Monica California​​​​
Fred_Pressman​​​​;Pancreatic cancer​​​​;Fred_Pressman__1​​​​;1996​​​​;1923​​​​;None​​​​
Fred_Rogers​​​​;Stomach cancer​​​​;['Fred_Rogers__1', 'Author', 'Songwriter', 'Puppeteer', 'Composer', 'Teacher', 'Minister (Christianity)', 'Celebrity']​​​​;2003​​​​;1928​​​​;['Pennsylvania', 'Pittsburgh']​​​​
Fred_W._Friendly​​​​;Stroke​​​​;None​​​​;1998​​​​;1915​​​​;The Bronx​​​​
Freddie_Mercury​​​​;Pneumonia​​​​;None​​​​;1991​​​​;1946​​​​;['London', 'Kensington', 'England']​​​​
Freddie_Prinze​​​​;Suicide​​​​;None​​​​;1977​​​​;1954​​​​;Los Angeles​​​​
Freddy_Beras-Goico​​​​;Pancreatic cancer​​​​;Freddy_Beras-Goico__1​​​​;2010​​​​;1940​​​​;['New York City', 'United States', 'New York']​​​​
Freddy_Heineken​​​​;Pneumonia​​​​;['Freddy_Heineken__1', 'Freddy_Heineken__2', 'Businessperson', 'Board of directors']​​​​;2002​​​​;1923​​​​;['Netherlands', 'Noordwijk']​​​​
Freddy_Soto​​​​;['Fentanyl', 'Alprazolam']​​​​;Freddy_Soto__1​​​​;2005​​​​;1970​​​​;None​​​​
Frederic_Clay_Bartlett​​​​;Stroke​​​​;['Frederic_Clay_Bartlett__1', 'Private collection']​​​​;1953​​​​;1873​​​​;Beverly Massachusetts​​​​
Frederic_Kimber_Seward​​​​;Heart failure​​​​;None​​​​;1943​​​​;1878​​​​;['New York City', 'New York']​​​​
Frederic_Poole_Gorham​​​​;Myocardial infarction​​​​;Frederic_Poole_Gorham__1​​​​;1933​​​​;1871​​​​;Glocester Rhode Island​​​​
Frederick_Coffin​​​​;Lung cancer​​​​;Frederick_Coffin__1​​​​;2003​​​​;1943​​​​;Los Angeles​​​​
Frederick_John_Harris​​​​;Hanging​​​​;['Frederick_John_Harris__1', 'Internal resistance to apartheid']​​​​;1965​​​​;1937​​​​;None​​​​
Frederick_Kerr​​​​;Lung cancer​​​​;Frederick_Kerr__1​​​​;1933​​​​;1858​​​​;['London', 'United Kingdom', 'England']​​​​
Frederick_Lothrop_Ames​​​​;Apoplexy​​​​;['Union Pacific Railroad', 'Old Colony Railroad', 'Frederick_Lothrop_Ames__1']​​​​;1893​​​​;1835​​​​;Fall River Massachusetts​​​​
Frederick_Miller​​​​;Cancer​​​​;None​​​​;1888​​​​;1824​​​​;['Wisconsin', 'Milwaukee', 'United States']​​​​
Frederick_Winslow_Taylor​​​​;Pneumonia​​​​;['Frederick_Winslow_Taylor__1', 'Frederick_Winslow_Taylor__2', 'Management consulting']​​​​;1915​​​​;1856​​​​;['Pennsylvania', 'Philadelphia']​​​​
Frederick_Yuengling​​​​;Pneumonia​​​​;None​​​​;1899​​​​;1848​​​​;None​​​​
Fredric_March​​​​;Prostate cancer​​​​;Fredric_March__1​​​​;1975​​​​;1897​​​​;['Los Angeles', 'United States']​​​​
Frei_Tito​​​​;Suicide​​​​;['Frei_Tito__1', 'Catholic Church']​​​​;1974​​​​;1945​​​​;['Sainte Marie de La Tourette', 'France', 'Éveux']​​​​
Friedelind_Wagner​​​​;Liver disease​​​​;['Friedelind_Wagner__1', 'List of opera directors']​​​​;1991​​​​;1918​​​​;['Germany', 'Herdecke']​​​​
Friedrich_Akel​​​​;NKVD​​​​;['Friedrich_Akel__1', 'Friedrich_Akel__2', 'Friedrich_Akel__3', 'Head of state']​​​​;1941​​​​;1871​​​​;Tallinn​​​​
Fritz_Leiber_(Sr.)​​​​;Myocardial infarction​​​​;['Fritz_Leiber_(Sr.)__1', 'Actor']​​​​;1949​​​​;1882​​​​;Hollywood​​​​
Friz_Freleng​​​​;Death by natural causes​​​​;['Friz_Freleng__1', 'Animator', 'Composer', 'Film director', 'Film producer']​​​​;1995​​​​;1906​​​​;['Los Angeles', 'United States']​​​​
Fujiko_Fujio​​​​;Liver failure​​​​;['Fujiko_Fujio__1', 'Fujiko_Fujio__2', 'Mangaka']​​​​;1996​​​​;['1934', '1933']​​​​;['Japan', 'Tokyo', 'Shinjuku']​​​​
Fujio_Akatsuka​​​​;Pneumonia​​​​;['Fujio_Akatsuka__1', 'Mangaka']​​​​;2008​​​​;1935​​​​;Tokyo​​​​
Fulton_Mackay​​​​;Stomach cancer​​​​;['Fulton_Mackay__1', 'Playwright', 'Actor']​​​​;1987​​​​;1922​​​​;['London', 'England']​​​​
Félix_Pissarro​​​​;Tuberculosis​​​​;Félix_Pissarro__1​​​​;1897​​​​;1874​​​​;Kew​​​​
F._D._Reeve​​​​;Diabetes mellitus​​​​;F._D._Reeve__1​​​​;['2013', '2018']​​​​;1928​​​​;Lebanon New Hampshire​​​​
Fahd_al-Quso​​​​;Central Intelligence Agency​​​​;['Fahd_al-Quso__1', 'Terrorism']​​​​;2012​​​​;1974​​​​;['Yemen', 'Shabwah Governorate']​​​​
Faisal_Ahmad_Shinwari​​​​;Stroke​​​​;Faisal_Ahmad_Shinwari__1​​​​;2011​​​​;1927​​​​;India​​​​
Faith_Hubley​​​​;Breast cancer​​​​;['Faith_Hubley__1', 'Animator', 'Storyboard']​​​​;2001​​​​;1924​​​​;New Haven Connecticut​​​​
Fang_Xiaoru​​​​;Nine familial exterminations​​​​;None​​​​;1402​​​​;1357​​​​;['Nanjing', 'Jiangsu']​​​​
Fanny_Hines​​​​;Pneumonia​​​​;Fanny_Hines__1​​​​;1900​​​​;1864​​​​;Bulawayo​​​​
Farley_Granger​​​​;Death by natural causes​​​​;Farley_Granger__1​​​​;2011​​​​;1925​​​​;['New York City', 'New York']​​​​
Farrah_Fawcett​​​​;Cancer​​​​;Farrah_Fawcett__1​​​​;2009​​​​;1947​​​​;Santa Monica California​​​​
Farzad_Kamangar​​​​;Capital punishment​​​​;Farzad_Kamangar__1​​​​;2010​​​​;1978​​​​;['Tehran', 'Evin Prison']​​​​
Fauja_Singh_(Sikh_leader)​​​​;Martyr​​​​;None​​​​;1978​​​​;1936​​​​;None​​​​
Faustino_Rayo​​​​;Death​​​​;None​​​​;1875​​​​;None​​​​;['Ecuador', 'Quito']​​​​
Fay_Bainter​​​​;Pneumonia​​​​;Fay_Bainter__1​​​​;1968​​​​;1893​​​​;None​​​​
Fay_Spain​​​​;Lymphoma​​​​;Fay_Spain__1​​​​;1983​​​​;1932​​​​;['Los Angeles', 'United States']​​​​
Fearon_Fallows​​​​;Scarlet fever​​​​;None​​​​;1831​​​​;1788​​​​;["Simon's Town", 'South Africa']​​​​
Federal_Vanderburgh​​​​;Dyspnea​​​​;Federal_Vanderburgh__1​​​​;1868​​​​;1788​​​​;Rhinebeck (village) New York​​​​
Federico_Borrell_García​​​​;Killed in action​​​​;None​​​​;1936​​​​;1912​​​​;None​​​​
Federico_Fellini​​​​;Stroke​​​​;['Federico_Fellini__1', 'Screenwriter', 'Film director']​​​​;1993​​​​;1920​​​​;Rome​​​​
Felice_Cavallotti​​​​;Macola​​​​;Felice_Cavallotti__1​​​​;1898​​​​;1842​​​​;Rome​​​​
Felisa_Vanoff​​​​;Cancer​​​​;Felisa_Vanoff__1​​​​;2014​​​​;1925​​​​;Beverly Hills California​​​​
Feodor_Chaliapin,_Jr.​​​​;Death by natural causes​​​​;['Feodor_Chaliapin_Jr.__1', 'Actor']​​​​;1992​​​​;1905​​​​;Rome​​​​
Feodor_Machnow​​​​;['Pneumonia', 'Acromegaly']​​​​;None​​​​;1912​​​​;1878​​​​;['Vitebsk', 'Kasciuki']​​​​
Ferdinand_E._Kuhn​​​​;Fournier gangrene​​​​;Ferdinand_E._Kuhn__1​​​​;1930​​​​;1861​​​​;Nashville Tennessee​​​​
Ferdy_Mayne​​​​;Parkinson's disease​​​​;Ferdy_Mayne__1​​​​;1998​​​​;1916​​​​;England​​​​
Fernando_Lopes_(filmmaker)​​​​;Head and neck cancer​​​​;['Fernando_Lopes_(filmmaker)__1', 'Film director']​​​​;2012​​​​;1935​​​​;Lisbon​​​​
Fernando_Poe,_Jr.​​​​;['Multiple organ dysfunction syndrome', 'Cerebral venous sinus thrombosis']​​​​;None​​​​;2004​​​​;1939​​​​;['Philippines', 'Quezon City']​​​​
Fidan_Doğan​​​​;Execution-style murder​​​​;Fidan_Doğan__1​​​​;2013​​​​;['1982', '1980']​​​​;Paris​​​​
Fiennes_Cornwallis​​​​;Fox hunting​​​​;Fiennes_Cornwallis__1​​​​;1867​​​​;1831​​​​;['Oxfordshire', 'Banbury', 'England']​​​​
Fifi_D'Orsay​​​​;Cancer​​​​;Fifi_D'Orsay__1​​​​;1983​​​​;1904​​​​;['California', 'Woodland Hills Los Angeles', 'Motion Picture & Television Country House and Hospital']​​​​
Fikret_Otyam​​​​;Renal failure​​​​;['Fikret_Otyam__1', 'Journalist', 'Painting']​​​​;2015​​​​;1926​​​​;['Antalya', 'Turkey']​​​​
Florence_Bates​​​​;Myocardial infarction​​​​;Florence_Bates__1​​​​;1954​​​​;1888​​​​;Los Angeles​​​​
Florence_Broadhurst​​​​;Murder​​​​;['Florence_Broadhurst__1', 'Designer']​​​​;1977​​​​;1899​​​​;['New South Wales', 'Sydney']​​​​
Florence_La_Badie​​​​;Traffic collision​​​​;Florence_La_Badie__1​​​​;1917​​​​;1888​​​​;Ossining (village) New York​​​​
Florence_Stanley​​​​;Stroke​​​​;Florence_Stanley__1​​​​;2003​​​​;1924​​​​;['California', 'Los Angeles']​​​​
Florence_Sutro​​​​;Pleurisy​​​​;None​​​​;1906​​​​;1865​​​​;New York​​​​
Florida_Friebus​​​​;Cancer​​​​;Florida_Friebus__1​​​​;1988​​​​;1909​​​​;Laguna Niguel California​​​​
Floyd_Roberts​​​​;Traffic collision​​​​;None​​​​;1939​​​​;1900​​​​;['Indianapolis', 'Indiana University Health Methodist Hospital']​​​​
Fond_du_Lac_County_Jane_Doe​​​​;Homicide​​​​;None​​​​;2008​​​​;1987​​​​;None​​​​
Fons_Rademakers​​​​;Chronic obstructive pulmonary disease​​​​;['Fons_Rademakers__1', 'Fons_Rademakers__2', 'Fons_Rademakers__3', 'Fons_Rademakers__4', 'Screenwriter', 'Actor', 'Film director', 'Film producer']​​​​;2007​​​​;1920​​​​;['Geneva', 'Switzerland']​​​​
Forrest_Tucker​​​​;Lung cancer​​​​;Forrest_Tucker__1​​​​;1986​​​​;1919​​​​;['California', 'Woodland Hills Los Angeles']​​​​
Foster_Brooks​​​​;Heart failure​​​​;['Foster_Brooks__1', 'Comedian', 'Actor']​​​​;2001​​​​;1912​​​​;Encino Los Angeles​​​​
Foster_Hewitt​​​​;Head and neck cancer​​​​;None​​​​;1985​​​​;1902​​​​;['Scarborough Toronto', 'Ontario']​​​​
Franca_Maï​​​​;Cancer​​​​;['Franca_Maï__1', 'Franca_Maï__2', 'Franca_Maï__3', 'Franca_Maï__4', 'Franca_Maï__5', 'Franca_Maï__6', 'Franca_Maï__7', 'Franca_Maï__8', 'Franca_Maï__9']​​​​;2012​​​​;1959​​​​;['Val-de-Marne', 'Villejuif', 'France']​​​​
Francelia_Billington​​​​;Tuberculosis​​​​;Francelia_Billington__1​​​​;1934​​​​;1895​​​​;['Glendale California', 'United States']​​​​
Frances_Bavier​​​​;Myocardial infarction​​​​;Frances_Bavier__1​​​​;1989​​​​;1902​​​​;Siler City North Carolina​​​​
Frances_Bay​​​​;Pneumonia​​​​;Frances_Bay__1​​​​;2011​​​​;1919​​​​;Tarzana Los Angeles​​​​
Frances_Farmer​​​​;Esophageal cancer​​​​;Frances_Farmer__1​​​​;1970​​​​;1913​​​​;['Indianapolis', 'Indiana']​​​​
Frances_Ford_Seymour​​​​;Suicide​​​​;['Frances_Ford_Seymour__1', 'Socialite']​​​​;1950​​​​;1908​​​​;['Beacon New York', 'New York']​​​​
Frances_Gifford​​​​;Chronic obstructive pulmonary disease​​​​;Frances_Gifford__1​​​​;1994​​​​;1920​​​​;['California', 'Pasadena California', 'United States']​​​​
Frances_Horwich​​​​;Heart failure​​​​;['Frances_Horwich__1', 'Frances_Horwich__2', 'Frances_Horwich__3']​​​​;2001​​​​;1907​​​​;Scottsdale Arizona​​​​
Frances_Willard_(suffragist)​​​​;Influenza​​​​;['Frances_Willard_(suffragist)__1', "Women's suffrage", 'Dean (education)']​​​​;1898​​​​;1839​​​​;New York City​​​​
Francesca_Hilton​​​​;Stroke​​​​;Francesca_Hilton__1​​​​;2015​​​​;1947​​​​;Los Angeles​​​​
Gary_Coleman​​​​;Epidural hematoma​​​​;Gary_Coleman__1​​​​;2010​​​​;1968​​​​;Provo Utah​​​​
Gary_Cooper​​​​;Cancer​​​​;Gary_Cooper__1​​​​;1961​​​​;1901​​​​;['California', 'Los Angeles']​​​​
Gary_Crosby_(actor)​​​​;Lung cancer​​​​;['Gary_Crosby_(actor)__1', 'Singing', 'Actor']​​​​;1995​​​​;1933​​​​;Burbank California​​​​
Gary_McFarland​​​​;Methadone​​​​;Gary_McFarland__1​​​​;1971​​​​;1933​​​​;['New York City', 'New York']​​​​
Gary_Miller_(singer)​​​​;Myocardial infarction​​​​;['Gary_Miller_(singer)__1', 'Singing', 'Actor']​​​​;1968​​​​;1924​​​​;None​​​​
Gary_Olsen​​​​;Cancer​​​​;['Gary_Olsen__1', 'Actor']​​​​;2000​​​​;1957​​​​;['Victoria (Australia)', 'Australia', 'Melbourne']​​​​
Gary_Owens​​​​;Complications of diabetes mellitus​​​​;['Gary_Owens__1', 'Disc jockey', 'Voice acting']​​​​;2015​​​​;1934​​​​;['Encino Los Angeles', 'United States']​​​​
Gary_Webb​​​​;Multiple gunshot suicide​​​​;['Gary_Webb__1', 'Investigative journalism']​​​​;2004​​​​;1955​​​​;Carmichael California​​​​
Gary_Winick​​​​;Pneumonia​​​​;Gary_Winick__1​​​​;2011​​​​;1961​​​​;['Manhattan', 'New York']​​​​
Gaston_Calmette​​​​;Henriette Caillaux​​​​;Gaston_Calmette__1​​​​;1914​​​​;1858​​​​;['Paris', 'France']​​​​
Gatewood_Galbraith​​​​;Complication (medicine)​​​​;Gatewood_Galbraith__1​​​​;2012​​​​;1947​​​​;Lexington Kentucky​​​​
Gavrilo_Princip​​​​;Tuberculosis​​​​;None​​​​;1918​​​​;1894​​​​;['Austria-Hungary', 'Bohemia', 'Terezín']​​​​
Gebran_Tueni​​​​;Assassination​​​​;Gebran_Tueni__1​​​​;2005​​​​;1957​​​​;['Beirut', 'Matn District', 'Mkalles']​​​​
Geli_Raubal​​​​;Suicide​​​​;None​​​​;1931​​​​;1908​​​​;['Germany', 'Munich']​​​​
Gene_Barry​​​​;Heart failure​​​​;Gene_Barry__1​​​​;2009​​​​;1919​​​​;['California', 'Los Angeles']​​​​
Gene_Lockhart​​​​;Coronary thrombosis​​​​;Gene_Lockhart__1​​​​;1957​​​​;1891​​​​;Santa Monica California​​​​
Gene_Rayburn​​​​;Heart failure​​​​;Gene_Rayburn__1​​​​;1999​​​​;1917​​​​;Gloucester Massachusetts​​​​
Gene_Saks​​​​;Pneumonia​​​​;['Gene_Saks__1', 'Film director', 'Theatre director']​​​​;2015​​​​;1921​​​​;East Hampton (town) New York​​​​
Gene_Tierney​​​​;Chronic obstructive pulmonary disease​​​​;Gene_Tierney__1​​​​;1991​​​​;1920​​​​;Houston​​​​
Gene_Wood​​​​;Lung cancer​​​​;['Gene_Wood__1', 'Gene_Wood__2', 'Announcer']​​​​;2004​​​​;1925​​​​;Boston​​​​
General_Tom_Thumb​​​​;Stroke​​​​;None​​​​;1883​​​​;1838​​​​;Bridgeport Connecticut​​​​
Geoff_Edwards​​​​;Pneumonia​​​​;['Geoff_Edwards__1', 'Geoff_Edwards__2', 'Geoff_Edwards__3', 'Radio personality']​​​​;2014​​​​;1931​​​​;Santa Monica California​​​​
Geoff_Workman​​​​;Liver failure​​​​;Geoff_Workman__1​​​​;2010​​​​;1947​​​​;Aurora Colorado​​​​
Geoffrey_Bowers​​​​;AIDS​​​​;['Geoffrey_Bowers__1', 'Lawyer', 'Activism']​​​​;1987​​​​;['1954', '1953']​​​​;['New York City', 'United States', 'Boston']​​​​
Geoffrey_Holder​​​​;Pneumonia​​​​;['Geoffrey_Holder__1', 'Costume designer']​​​​;2014​​​​;1930​​​​;New York City​​​​
Geoffrey_Hughes​​​​;Prostate cancer​​​​;Geoffrey_Hughes__1​​​​;2012​​​​;1944​​​​;Isle of Wight​​​​
Geoffrey_Pyke​​​​;Suicide​​​​;['Geoffrey_Pyke__1', 'Education', 'Invention', 'Journalist']​​​​;1948​​​​;1893​​​​;None​​​​
Geoffrey_Thompson_(businessman)​​​​;Aneurysm​​​​;['Geoffrey_Thompson_(businessman)__1', 'Businessperson']​​​​;2004​​​​;1936​​​​;['United Kingdom', 'Blackpool', 'England']​​​​
Georg_Maria_Stenz​​​​;Stroke​​​​;['Georg_Maria_Stenz__1', 'Shandong']​​​​;1928​​​​;1869​​​​;Techny Illinois​​​​
Georg_Quistgaard​​​​;['Ballistic trauma', 'Execution by firing squad']​​​​;Georg_Quistgaard__1​​​​;1944​​​​;1915​​​​;Ryvangen Memorial Park​​​​
George_A._Hormel​​​​;Heart failure​​​​;None​​​​;1946​​​​;1860​​​​;['California', 'Los Angeles', 'United States']​​​​
George_Allan_Hancock​​​​;Myocardial infarction​​​​;None​​​​;1965​​​​;1875​​​​;Santa Maria California​​​​
George_Andreasen​​​​;Multiple myeloma​​​​;None​​​​;1989​​​​;1934​​​​;None​​​​
George_Arliss​​​​;Bronchitis​​​​;George_Arliss__1​​​​;1946​​​​;1868​​​​;['London', 'United Kingdom', 'England']​​​​
George_B._French​​​​;Myocardial infarction​​​​;None​​​​;1961​​​​;1883​​​​;Hollywood​​​​
George_B._Selden​​​​;Stroke​​​​;['George_B._Selden__2', 'Invention']​​​​;1922​​​​;1846​​​​;Rochester New York​​​​
George_Baker_(actor)​​​​;Pneumonia​​​​;['George_Baker_(actor)__1', 'George_Baker_(actor)__2']​​​​;2011​​​​;1931​​​​;['Wiltshire', 'West Lavington Wiltshire']​​​​
George_Balanchine​​​​;Creutzfeldt–Jakob disease​​​​;['George_Balanchine__1', 'Choreography']​​​​;1983​​​​;1904​​​​;New York City​​​​
George_Ballas​​​​;Lung cancer​​​​;['George_Ballas__1', 'Entrepreneurship']​​​​;2011​​​​;1925​​​​;['Houston', 'Texas']​​​​
George_Berham_Parr​​​​;Suicide​​​​;['George_Berham_Parr__1', 'Lawyer']​​​​;1975​​​​;1901​​​​;['Texas', 'Duval County Texas', 'Benavides Texas']​​​​
George_Beverly_Shea​​​​;Stroke​​​​;None​​​​;2013​​​​;1909​​​​;Montreat North Carolina​​​​
George_Bradshaw​​​​;Cholera​​​​;None​​​​;1853​​​​;1801​​​​;['Norway', 'Oslo']​​​​
George_Brent​​​​;Chronic obstructive pulmonary disease​​​​;['George_Brent__1', 'Actor']​​​​;1979​​​​;1904​​​​;Solana Beach California​​​​
George_Bunny​​​​;Myocardial infarction​​​​;None​​​​;1952​​​​;1867​​​​;['California', 'Hollywood']​​​​
George_Burns​​​​;Cardiac arrest​​​​;George_Burns__1​​​​;1996​​​​;1896​​​​;Beverly Hills California​​​​
George_Butterworth​​​​;['Battle of the Somme', 'Sniper']​​​​;['George_Butterworth__1', 'Composer', 'Morris dance']​​​​;1916​​​​;1885​​​​;['Somme (department)', 'Pozières']​​​​
George_Carlin​​​​;Heart failure​​​​;George_Carlin__1​​​​;2008​​​​;1937​​​​;Santa Monica California​​​​
George_Carman​​​​;Prostate cancer​​​​;['George_Carman__1', 'Barrister']​​​​;2001​​​​;1929​​​​;['London', 'England']​​​​
George_Chandler​​​​;Cancer​​​​;None​​​​;1985​​​​;1898​​​​;['California', 'Los Angeles', 'Panorama City Los Angeles', 'United States']​​​​
George_Cleveland​​​​;Myocardial infarction​​​​;George_Cleveland__1​​​​;1957​​​​;1885​​​​;Burbank California​​​​
George_D._Beveridge​​​​;Leukemia​​​​;George_D._Beveridge__1​​​​;1987​​​​;1922​​​​;Bethesda Maryland​​​​
George_D._Prentice​​​​;Influenza​​​​;George_D._Prentice__1​​​​;1870​​​​;1802​​​​;Jefferson County Kentucky​​​​
George_Davenport​​​​;Murder​​​​;['George_Davenport__1', 'Indian agent', 'Postmaster']​​​​;1845​​​​;1783​​​​;['Rock Island County Illinois', 'Rock Island Illinois']​​​​
George_Dayton​​​​;Cancer​​​​;['George_Dayton__1', 'Entrepreneurship']​​​​;1938​​​​;1857​​​​;['Minnesota', 'United States', 'Minneapolis']​​​​
George_DiCenzo​​​​;Sepsis​​​​;George_DiCenzo__1​​​​;None​​​​;1940​​​​;['Washington Crossing Pennsylvania', 'United States']​​​​
George_Doherty​​​​;Cardiovascular disease​​​​;['George_Doherty__1', 'Coach (sport)']​​​​;1987​​​​;1920​​​​;['Louisiana', 'Natchitoches Parish Louisiana', 'Natchitoches Louisiana']​​​​
George_Dolenz​​​​;Myocardial infarction​​​​;['George_Dolenz__1', 'Actor']​​​​;1963​​​​;1908​​​​;['California', 'Los Angeles', 'Hollywood']​​​​
George_Dovey​​​​;Pulmonary hemorrhage​​​​;['George_Dovey__1', 'History of the Boston Braves']​​​​;1909​​​​;['1862', '1863']​​​​;Greene County Ohio​​​​
George_Duff​​​​;Killed in action​​​​;['Royal Navy', 'George_Duff__1']​​​​;1805​​​​;1764​​​​;Battle of Trafalgar​​​​
George_E._M._Kelly​​​​;Aviation accidents and incidents​​​​;None​​​​;1911​​​​;1878​​​​;Fort Sam Houston​​​​
George_E._Waring,_Jr.​​​​;Yellow fever​​​​;['George_E._Waring_Jr.__1', 'Sanitary engineering']​​​​;1898​​​​;1833​​​​;['New York City', 'New York']​​​​
George_Edalji​​​​;Coronary thrombosis​​​​;George_Edalji__1​​​​;1953​​​​;1876​​​​;['Hertfordshire', 'Welwyn Garden City', 'England']​​​​
George_Gastlin​​​​;Bright's disease​​​​;['George_Gastlin__1', 'Private investigator']​​​​;1895​​​​;1835​​​​;['Manhattan', 'United States']​​​​
George_Irving_(American_actor)​​​​;Myocardial infarction​​​​;None​​​​;1961​​​​;1874​​​​;Hollywood​​​​
George_Macready​​​​;Chronic obstructive pulmonary disease​​​​;George_Macready__1​​​​;1973​​​​;1899​​​​;None​​​​
